Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,9400.000000,9425.000000,9350.000000,9425.000000,9212.704102,30545200
2024-01-03,9425.000000,9425.000000,9325.000000,9350.000000,9139.393555,34603300
2024-01-04,9400.000000,9475.000000,9375.000000,9475.000000,9261.578125,56501800
2024-01-05,9500.000000,9600.000000,9475.000000,9575.000000,9359.325195,85290100
2024-01-08,9600.000000,9625.000000,9475.000000,9575.000000,9359.325195,50896000
2024-01-09,9600.000000,9625.000000,9575.000000,9625.000000,9408.199219,59848600
2024-01-10,9650.000000,9650.000000,9550.000000,9550.000000,9334.888672,52774900
2024-01-11,9625.000000,9650.000000,9575.000000,9575.000000,9359.325195,39381500
2024-01-12,9650.000000,9700.000000,9600.000000,9700.000000,9481.509766,68253400
2024-01-15,9750.000000,9750.000000,9650.000000,9725.000000,9505.946289,88399500
2024-01-16,9700.000000,9750.000000,9675.000000,9700.000000,9481.509766,44869200
2024-01-17,9750.000000,9750.000000,9650.000000,9750.000000,9530.383789,107706100
2024-01-18,9675.000000,9750.000000,9625.000000,9675.000000,9457.073242,71048900
2024-01-19,9775.000000,9775.000000,9600.000000,9625.000000,9408.199219,63176500
2024-01-22,9600.000000,9650.000000,9525.000000,9625.000000,9408.199219,52868300
2024-01-23,9450.000000,9600.000000,9450.000000,9600.000000,9383.761719,92348600
2024-01-24,9600.000000,9600.000000,9475.000000,9525.000000,9310.451172,84906000
2024-01-25,9450.000000,9575.000000,9450.000000,9500.000000,9286.014648,63212700
2024-01-26,9400.000000,9450.000000,9300.000000,9350.000000,9139.393555,78977300
2024-01-29,9400.000000,9550.000000,9375.000000,9550.000000,9334.888672,73452800
2024-01-30,9500.000000,9650.000000,9475.000000,9650.000000,9432.635742,73136400
2024-01-31,9700.000000,9700.000000,9550.000000,9550.000000,9334.888672,102581200
2024-02-01,9650.000000,9725.000000,9575.000000,9700.000000,9481.509766,104208700
2024-02-02,9775.000000,9800.000000,9625.000000,9700.000000,9481.509766,99324000
2024-02-05,9675.000000,9675.000000,9525.000000,9575.000000,9359.325195,57983300
2024-02-06,9750.000000,9750.000000,9625.000000,9625.000000,9408.199219,87651000
2024-02-07,9700.000000,9725.000000,9650.000000,9700.000000,9481.509766,92953500
2024-02-12,9750.000000,9800.000000,9700.000000,9800.000000,9579.256836,87949400
2024-02-13,9750.000000,9800.000000,9700.000000,9725.000000,9505.946289,66072400
2024-02-15,9950.000000,9975.000000,9850.000000,9850.000000,9628.130859,164748900
2024-02-16,9975.000000,10000.000000,9875.000000,9950.000000,9725.878906,142277200
2024-02-19,9900.000000,9975.000000,9825.000000,9875.000000,9652.567383,53341300
2024-02-20,9850.000000,10025.000000,9850.000000,10025.000000,9799.189453,63997700
2024-02-21,9950.000000,10000.000000,9850.000000,9975.000000,9750.315430,75371600
2024-02-22,9975.000000,9975.000000,9875.000000,9875.000000,9652.567383,66913000
2024-02-23,9900.000000,9925.000000,9800.000000,9825.000000,9603.694336,55192300
2024-02-26,9750.000000,9875.000000,9725.000000,9800.000000,9579.256836,41356000
2024-02-27,9750.000000,9900.000000,9750.000000,9875.000000,9652.567383,43735800
2024-02-28,9975.000000,10000.000000,9900.000000,10000.000000,9774.751953,54043100
2024-02-29,10000.000000,10000.000000,9850.000000,9875.000000,9652.567383,126671200
2024-03-01,9900.000000,9925.000000,9800.000000,9825.000000,9603.694336,51520600
2024-03-04,9800.000000,9825.000000,9750.000000,9750.000000,9530.383789,43822900
2024-03-05,9900.000000,9900.000000,9775.000000,9800.000000,9579.256836,61952900
2024-03-06,9900.000000,10000.000000,9775.000000,9950.000000,9725.878906,70242200
2024-03-07,10050.000000,10175.000000,10000.000000,10125.000000,9896.936523,118369300
2024-03-08,10250.000000,10300.000000,10125.000000,10150.000000,9921.374023,100947200
2024-03-13,10400.000000,10400.000000,10000.000000,10000.000000,9774.751953,141622600
2024-03-14,10050.000000,10325.000000,10025.000000,10325.000000,10092.431641,110681100
2024-03-15,10200.000000,10300.000000,10050.000000,10150.000000,9921.374023,154176800
2024-03-18,10175.000000,10275.000000,10150.000000,10150.000000,9921.374023,62444100
2024-03-19,10150.000000,10250.000000,10150.000000,10175.000000,9945.810547,55004800
2024-03-20,10100.000000,10150.000000,10075.000000,10125.000000,9896.936523,66269700
2024-03-21,10175.000000,10225.000000,10050.000000,10125.000000,9896.936523,90279400
2024-03-22,10000.000000,10125.000000,9950.000000,10100.000000,9872.500000,91968200
2024-03-25,10075.000000,10075.000000,9925.000000,10075.000000,10075.000000,66971000
2024-03-26,10050.000000,10050.000000,9950.000000,10050.000000,10050.000000,65742700
2024-03-27,10025.000000,10075.000000,10000.000000,10075.000000,10075.000000,39514100
2024-03-28,10025.000000,10100.000000,9975.000000,10075.000000,10075.000000,79229700
2024-04-01,10075.000000,10100.000000,9825.000000,9850.000000,9850.000000,79248700
2024-04-02,9925.000000,9950.000000,9800.000000,9900.000000,9900.000000,76763100
2024-04-03,9750.000000,9800.000000,9525.000000,9525.000000,9525.000000,177418400
2024-04-04,9575.000000,9850.000000,9575.000000,9850.000000,9850.000000,75993500
2024-04-05,9950.000000,9950.000000,9825.000000,9825.000000,9825.000000,70428600
2024-04-16,9350.000000,9575.000000,9250.000000,9475.000000,9475.000000,283265900
2024-04-17,9550.000000,9675.000000,9525.000000,9525.000000,9525.000000,95620700
2024-04-18,9525.000000,9575.000000,9450.000000,9475.000000,9475.000000,127134000
2024-04-19,9350.000000,9500.000000,9300.000000,9475.000000,9475.000000,147784300
2024-04-22,9400.000000,9425.000000,9350.000000,9350.000000,9350.000000,128908000
2024-04-23,9400.000000,9775.000000,9400.000000,9725.000000,9725.000000,178833000
2024-04-24,9825.000000,9950.000000,9750.000000,9950.000000,9950.000000,132832700
2024-04-25,10000.000000,10000.000000,9700.000000,9775.000000,9775.000000,104874100
2024-04-26,9700.000000,9825.000000,9625.000000,9625.000000,9625.000000,100932900
2024-04-29,9525.000000,9850.000000,9525.000000,9800.000000,9800.000000,90063500
2024-04-30,10050.000000,10050.000000,9800.000000,9800.000000,9800.000000,109623000
2024-05-02,9900.000000,9900.000000,9500.000000,9550.000000,9550.000000,97079400
2024-05-03,9750.000000,9850.000000,9675.000000,9850.000000,9850.000000,81200400
2024-05-06,9850.000000,9875.000000,9775.000000,9800.000000,9800.000000,53076200
2024-05-07,9700.000000,9750.000000,9625.000000,9700.000000,9700.000000,66746800
2024-05-08,9600.000000,9700.000000,9375.000000,9375.000000,9375.000000,112808900
2024-05-13,9200.000000,9525.000000,9200.000000,9525.000000,9525.000000,145469900
2024-05-14,9625.000000,9675.000000,9525.000000,9550.000000,9550.000000,95363500
2024-05-15,9500.000000,9600.000000,9425.000000,9500.000000,9500.000000,54741900
2024-05-16,9575.000000,9675.000000,9525.000000,9600.000000,9600.000000,61126000
2024-05-17,9600.000000,9850.000000,9575.000000,9750.000000,9750.000000,99848500
2024-05-20,9700.000000,9800.000000,9475.000000,9475.000000,9475.000000,87890100
2024-05-21,9450.000000,9575.000000,9375.000000,9375.000000,9375.000000,75311400
2024-05-22,9475.000000,9575.000000,9325.000000,9425.000000,9425.000000,121712700
2024-05-27,9300.000000,9375.000000,9275.000000,9300.000000,9300.000000,128578500
2024-05-28,9300.000000,9400.000000,9300.000000,9300.000000,9300.000000,73945700
2024-05-29,9275.000000,9325.000000,9150.000000,9150.000000,9150.000000,117351600
2024-05-30,9000.000000,9250.000000,8775.000000,9000.000000,9000.000000,207115100
2024-05-31,9100.000000,9250.000000,9025.000000,9250.000000,9250.000000,756431600
2024-06-03,9350.000000,9350.000000,9225.000000,9275.000000,9275.000000,72197700
2024-06-04,9525.000000,9525.000000,9350.000000,9350.000000,9350.000000,75353100
2024-06-05,9500.000000,9500.000000,9300.000000,9450.000000,9450.000000,82087300
2024-06-06,9525.000000,9525.000000,9450.000000,9475.000000,9475.000000,44991300
2024-06-07,9500.000000,9500.000000,9325.000000,9325.000000,9325.000000,51599800
